Show-name,Latest-episode,Critic-score,Audience-score
The Lord of the Rings: The Rings of Power,Sep 05,83%,48%
Slow Horses,Sep 04,98%,94%
English Teacher,Sep 02,97%,84%
Terminator Zero,Aug 29,89%,77%
The Perfect Couple,Sep 05,54%,54%
Kaos,Aug 29,76%,81%
Fight Night: The Million Dollar Heist,Sep 05,93%,92%
Bad Monkey,Sep 04,93%,76%
Dark Winds,Missing,Missing,Missing
Missing,Sep 03,96%,91%
Only Murders in the Building,Sep 06,98%,90%
Pachinko,Missing,Missing,Missing
The Terror,Sep 08,95%,
Missing,Missing,Missing,Missing
Chimp Crazy,Aug 08,78%,61%
From,Missing,Missing,Missing
Missing,Sep 08,83%,
The Umbrella Academy,Sep 04,73%,66%
The Accident,Jun 26,96%,79%
Missing,Aug 21,,87%
City of God: The Fight Rages On,Jul 16,78%,18%
Tell Me Lies,Jul 18,93%,76%
The Bear,Missing,Missing,Missing
Wyatt Earp and the Cowboy War,Sep 08,89%,64%
Star Wars: The Acolyte,Aug 04,86%,79%
The Boys,Sep 05,50%,14%
Kevin Can F**k Himself,Missing,Missing,Missing
Missing,Sep 04,90%,66%
Industry,Missing,Missing,Missing
House of the Dragon,Jun 27,100%,73%
Rick and Morty: The Anime,Sep 06,,
The Old Man,Aug 28,,
Missing,Jul 01,84%,68%
Sunny,Jul 19,50%,63%
True Detective,Sep 04,80%,16%
Missing,Sep 05,77%,77%
Supacell,Aug 15,62%,49%
The Secret Lives of Mormon Wives,Missing,Missing,Missing
Worst Ex Ever,Missing,Missing,Missing
A Good Girl's Guide to Murder,Aug 23,43%,59%
Those About to Die,Sep 05,100%,76%
Outlast,Aug 30,100%,86%
Bel-Air,Jul 24,78%,80%
Emily in Paris,Missing,Missing,Missing
Disclaimer,Missing,Missing,Missing
Missing,Aug 09,100%,72%
A Discovery of Witches,Missing,Missing,Missing
Missing,Missing,Missing,Missing
The Frog,Aug 23,100%,86%
Reasonable Doubt,Aug 21,29%,
The Serpent Queen,Missing,Missing,Missing
Presumed Innocent,Aug 14,100%,77%
Gangs of London,Jun 30,98%,78%
Missing,Aug 14,40%,93%
Monsieur Spade,Missing,Missing,Missing
Missing,Missing,Missing,Missing
Tales of the Teenage Mutant Ninja Turtles,Aug 23,75%,75%
Gyeongseong Creature,Missing,Missing,Missing
Missing,Missing,Missing,Missing
Severance,Sep 05,,
Missing,Missing,Missing,Missing
Troppo,Missing,Missing,Missing
The Accident,Missing,Missing,Missing
Shōgun,Missing,Missing,Missing
Missing,Missing,Missing,Missing
American Murder: Laci Peterson,Missing,Missing,Missing
Interview With the Vampire,Jun 26,83%,83%
The Tyrant,Sep 05,96%,86%
Fool Me Once,Sep 04,100%,85%
Missing,Missing,Missing,Missing
Game of Thrones,Aug 08,86%,83%
Missing,Missing,Missing,Missing
Lady in the Lake,Missing,Missing,Missing
Mr. & Mrs. Smith,Missing,Missing,Missing
Missing,Aug 22,81%,77%
American Nightmare,Missing,Missing,Missing
Missing,Missing,Missing,Missing
The Tower,Missing,Missing,Missing
The Rookie,Missing,Missing,Missing
Missing,Jul 18,92%,91%
Fallout,Missing,Missing,Missing
Missing,Sep 06,,84%
Challenger: The Final Flight,Missing,Missing,Missing
Missing,Missing,Missing,Missing
Mayfair Witches,Missing,Missing,Missing
Missing,Sep 08,63%,84%
Baby Reindeer,Aug 01,95%,56%
Missing,Missing,Missing,Missing
The Sex Lives of College Girls,Missing,Missing,Missing
Missing,Jun 27,95%,90%
Dark Matter,Missing,Missing,Missing
Evil,Missing,Missing,Missing
Women in Blue,Sep 03,75%,67%
The Tourist,Missing,Missing,Missing
Missing,Missing,Missing,Missing
Mr. Throwback,Jul 25,68%,60%
3 Body Problem,Missing,Missing,Missing
Missing,Missing,Missing,Missing
One Day,Missing,Missing,Missing
Missing,Jun 22,96%,33%
Under the Bridge,Missing,Missing,Missing
Missing,Missing,Missing,Missing
That '90s Show,Jun 13,84%,74%
Scavengers Reign,Missing,Missing,Missing
Missing,Missing,Missing,Missing
Silo,Missing,Missing,Missing
Missing,Missing,Missing,Missing
Arcane: League of Legends,Missing,Missing,Missing
Missing,Missing,Missing,Missing
Preacher,Missing,Missing,Missing
Missing,Jun 27,100%,84%
Cobra Kai,Missing,Missing,Missing
Reacher,Missing,Missing,Missing
Missing,Missing,Missing,Missing
Power Book II: Ghost,Missing,Missing,Missing
A Man in Full,Missing,Missing,Missing
